County,PrecinctName,HILLARY CLINTON,DONALD TRUMP,GARY JOHNSON,JILL STEIN,EVAN MCMULLIN,DARRELL CASTLE,TOM HOEFLING,LAURENCE KOTLIKOFF,JAMES ANDERSON,Phillip Seeberg,MARSHALL SCHOENKE,KEVIN MCKEE,JOSEPH MALDONADO,JOANN BREIVOGEL,LAIO MORRIS,DAVID STACK,Matthew Roberts,JONATHAN LEE,BEN HARTNELL,AUTHOR BRUMFIELD,DUFF SMITH,ROY TYREE,CHERUNDA FOX,TIMOTHY MELUCH,Nathan Johnson,JAMES STRUCK,MARK HARPER,DEM WYSINGER,DAVID FORMHALS,JIM BROWN,SHEILA BOLAR,EDWARD LEARNER,JAMES MITCHELL,MARY VANN,ROBERT LANIER,Scott Bradley,SUSANA SANDOVAL,Total
McHenry,CHE 5,304,426,29,15,0,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,774
McHenry,COR 1,163,395,25,5,2,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,590
McHenry,COR 2,218,425,28,4,1,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,676
McHenry,COR 3,210,380,25,7,0,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,622
McHenry,DOR 1,263,191,29,11,1,1,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,496
McHenry,DOR 2,291,210,22,10,3,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,536
McHenry,DOR 3,233,149,24,11,1,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,418
McHenry,DOR 4,256,230,25,18,4,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,533
McHenry,DOR 5,249,164,19,9,2,0,0,0,,,0,,,,0,1,,0,,,,,,,,,,0,,,,,,,,,,444
McHenry,DOR 6,235,155,23,11,2,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,426
